اسم المشروع,نوع المنافسة,حالة المشروع,الرقم المرجعي ,اسم المورد,تاريخ أمر الشراء,تاريخ توقيع العقد,مدة العقد
خدمات التوظيف الالكترونية,منافسة عامة,تحت التنفيذ,220339535448,100613 شركة جوين العالمية,2022-05-24,2022-08-03,36
مشروع تهيئة وتطوير البنية التحتية التقنية بالمنافذ الجمركية – المرحلة الثانية,منافسة عامة,تحت التنفيذ,220439536558,شركه بعد للاتصالات السلكيه واللاسلكيه المحدوده,2022-07-05,2022-08-21,60
نظافة وصيانة وتشغيل مجمعات الوسائل الرقابية لعدد من المنافذ البرية وملحقاتها,منافسة عامة,تحت التنفيذ,220339530310,مؤسسة بناء الحجاز للمقاولات العامة,2022-07-05,2022-09-13,36
مشروع تهيئة وتطوير البنية التحتية التقنية بالمنافذ الجمركية – المرحلة الثالثة,منافسة عامة,تحت التنفيذ,220439536579,100787 شركة دار دلتا للتقنيه المعلومات,2022-07-24,2022-08-31,60
مشروع تهيئة وتطوير البنية التحتية التقنية بالمنافذ الجمركية – المرحلة الاولى,منافسة عامة,تحت التنفيذ,220439536532,100546 شركة ام دي اس لأنظمة الحاسب,2022-06-12,2022-07-20,60
نظافة وصيانة وتشغيل مجمعات الوسائل الرقابية لعدد من الموانئ وملحقاتها,منافسة عامة,تحت التنفيذ,220439535832,الشركة السعودية للتطوير العمراني,2022-07-05,2022-09-01,36
عقد نظافة وصيانة وتشغيل مبنى إدارة جمرك ميناء ضباء وملحقاته,منافسة عامة,تحت التنفيذ,220439540269,100966 مؤسسه حامد سعود العتيبي للمقاولات,2022-06-06,2022-08-03,36
استقطاب ملاحظين حظائر,منافسة عامة,تحت التنفيذ,220439539549,الشركة السعودية للتطوير العمراني,2022-06-08,2022-08-11,18
خدمات مدارة لتنفيذ حلول أنظمة امن المعلومات,منافسة عامة,تحت التنفيذ,220439552080,شركة المساعدة للحلول الأمنية للاتصالات وتقنية المعلومات,2022-10-17,2022-11-20,24
عقد مناولة منفذ جمرك جسر الملك فهد,منافسة عامة,تحت التنفيذ,220439536900,مؤسسه رائد صالح الصيعري للمقاولات,2022-08-05,2022-09-13,12
مشروع تنفيذ تحسينات وتجديد رخص نظام إدارة دورة حياة التطبيقات Atlassian (JIRA),منافسة عامة,تحت التنفيذ,220439536409,شركة انفوسيستا دي دبليوسي,2022-06-08,2022-08-13,12
